equity_curve,predicted,actual
20.961165990692137,buy,buy
20.751323695075822,buy,buy
20.543582131310448,buy,buy
20.337920268963153,buy,buy
20.134317288136803,buy,buy
19.93275257736231,buy,buy
19.73320573151208,buy,buy
19.535656549734295,buy,buy
19.340085033407934,buy,buy
19.146471384118232,buy,buy
18.95479600165241,buy,buy
18.76503948201548,buy,buy
18.577182615465905,buy,buy
18.39120638457093,buy,buy
18.20709196228137,buy,buy
18.024820710025697,buy,buy
17.844374175823166,buy,buy
17.665734092415878,buy,buy
17.4888823754195,buy,buy
17.313801121492528,buy,buy
17.14047260652386,buy,buy
16.968879283838533,buy,buy
16.799003782421387,buy,buy
16.630828905158555,buy,buy
16.464337627096526,buy,buy
16.29951309371865,buy,buy
16.136338619238895,buy,buy
15.974797684912678,buy,buy
15.814873937364624,buy,buy
15.656551186933045,buy,buy
15.499813406031006,buy,buy
15.34464472752379,buy,buy
15.191029443122614,buy,buy
15.038952001794426,buy,buy
14.888397008187606,buy,buy
14.73934922107345,buy,buy
14.591793551803237,buy,buy
14.445715062780755,buy,buy
14.30109896595011,buy,buy
14.157930621298688,buy,buy
14.016195535375074,buy,buy
13.875879359821848,buy,buy
13.736967889923033,buy,buy
13.59944706316611,buy,buy
13.463302957818414,buy,buy
13.328521791517785,buy,buy
13.195089919877335,buy,buy
13.062993835104173,buy,buy
12.932220164631964,buy,buy
12.802755669767173,buy,buy
12.674587244348867,buy,buy
12.547701913421928,buy,buy
12.422086831923556,buy,buy
12.297729283382909,buy,buy
12.174616678633775,buy,buy
12.052736554540122,buy,buy
11.932076572734411,buy,buy
11.812624518368537,buy,buy
11.694368298877276,buy,buy
11.57729594275411,buy,buy
11.461395598339312,buy,buy
11.34665553262015,buy,buy
11.233064130043124,buy,buy
11.12060989133807,buy,buy
11.009281432354054,buy,buy
10.899067482906913,buy,buy
10.789956885638329,buy,buy
10.681938594886333,buy,buy
10.57500167556711,buy,buy
10.469135302068002,buy,buy
10.364328757151593,buy,buy
10.260571430870762,buy,buy
10.1578528194946,buy,buy
10.056162524445082,buy,buy
9.955490251244374,buy,buy
9.855825808472696,buy,buy
9.757159106736598,buy,buy
9.65948015764758,buy,buy
